2026-02-16T21:28:57Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:57Z | DEBUG   | ppf_house_crawler | Downloading PDF attempt=1/3 url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002963.pdf -> /home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20002963_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:57Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:57Z | INFO    | ppf_house_crawler | Downloaded PDF ok bytes=68616 sha256=9a41e76af2f1 path=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20002963_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:57Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:57Z | DEBUG   | ppf_house_crawler | Downloading PDF attempt=1/3 url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20002964.pdf -> /home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20002964_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:57Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:57Z | INFO    | ppf_house_crawler | Downloaded PDF ok bytes=67691 sha256=006a13453536 path=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20002964_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:57Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:57Z | DEBUG   | ppf_house_crawler | Downloading PDF attempt=1/3 url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003185.pdf -> /home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20003185_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:58Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:58Z | INFO    | ppf_house_crawler | Downloaded PDF ok bytes=67080 sha256=0d2af17791fd path=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20003185_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:58Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:58Z | DEBUG   | ppf_house_crawler | Downloading PDF attempt=1/3 url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003367.pdf -> /home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20003367_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:58Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:58Z | INFO    | ppf_house_crawler | Downloaded PDF ok bytes=100631 sha256=261f097b4be7 path=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20003367_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:58Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:58Z | DEBUG   | ppf_house_crawler | Downloading PDF attempt=1/3 url=https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2015/20003528.pdf -> /home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20003528_Ashford_Hon.._Brad_NE02_2015_Original.pdf
2026-02-16T21:28:58Z | INFO    | ppf_master | [subprocess] 2026-02-16T21:28:58Z | INFO    | ppf_house_crawler | Downloaded PDF ok bytes=67904 sha256=a64a866b90bb path=/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/house/pdfs/2015/20003528_Ashford_Hon.._Brad_NE02_2015_Original.pdf
