ticker,filer,filing_datetime,impulse,doc_id
ALGM,HON.,2024-01-07 00:00:00+00:00,-1,20024248
ORCL,HON.,2024-01-07 00:00:00+00:00,-1,20024248
CELH,HON.,2024-01-07 00:00:00+00:00,-1,20024248
LZAGY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
CRM,HON.,2024-01-07 00:00:00+00:00,-1,20024248
PTEN,HON.,2024-01-07 00:00:00+00:00,-1,20024248
HELE,HON.,2024-01-07 00:00:00+00:00,-1,20024248
SBGSY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
HSHCY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
SONY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
MNST,HON.,2024-01-07 00:00:00+00:00,-1,20024248
GTLS,HON.,2024-01-07 00:00:00+00:00,-1,20024248
LOW,HON.,2024-01-07 00:00:00+00:00,-1,20024248
BAP,HON.,2024-01-07 00:00:00+00:00,-1,20024248
DBSDY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
ALNY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
TPH,HON.,2024-01-07 00:00:00+00:00,-1,20024248
NOC,HON.,2024-01-07 00:00:00+00:00,-1,20024248
LOPE,HON.,2024-01-07 00:00:00+00:00,-1,20024248
EW,HON.,2024-01-07 00:00:00+00:00,-1,20024248
OCFC,HON.,2024-01-07 00:00:00+00:00,-1,20024248
HLI,HON.,2024-01-07 00:00:00+00:00,-1,20024248
MA,HON.,2024-01-07 00:00:00+00:00,-1,20024248
FANUY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
INTA,HON.,2024-01-07 00:00:00+00:00,-1,20024248
SSDOY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
XNGSY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
GOOG,HON.,2024-01-07 00:00:00+00:00,-1,20024248
AMD,HON.,2024-02-15 00:00:00+00:00,0,20024461
PNGAY,HON.,2024-02-15 00:00:00+00:00,0,20024461
PYCR,HON.,2024-02-15 00:00:00+00:00,0,20024461
ON,HON.,2024-02-15 00:00:00+00:00,0,20024461
SCHW,HON.,2024-02-15 00:00:00+00:00,0,20024461
SHLS,HON.,2024-02-15 00:00:00+00:00,0,20024461
LRCX,HON.,2024-02-15 00:00:00+00:00,0,20024461
APD,HON.,2024-02-15 00:00:00+00:00,0,20024461
ALGM,HON.,2024-02-15 00:00:00+00:00,0,20024461
TSM,HON.,2024-02-15 00:00:00+00:00,0,20024461
TSLA,HON.,2024-02-15 00:00:00+00:00,0,20024461
PTEN,HON.,2024-02-15 00:00:00+00:00,0,20024461
HELE,HON.,2024-02-15 00:00:00+00:00,0,20024461
AGIO,HON.,2024-02-15 00:00:00+00:00,0,20024461
MSFT,HON.,2024-02-15 00:00:00+00:00,0,20024461
ISRG,HON.,2024-02-15 00:00:00+00:00,0,20024461
HSHCY,HON.,2024-02-15 00:00:00+00:00,0,20024461
LAD,HON.,2024-02-15 00:00:00+00:00,0,20024461
GTLS,HON.,2024-02-15 00:00:00+00:00,0,20024461
LOW,HON.,2024-02-15 00:00:00+00:00,0,20024461
NCLTY,HON.,2024-02-15 00:00:00+00:00,0,20024461
BAP,HON.,2024-02-15 00:00:00+00:00,0,20024461
NOW,HON.,2024-02-15 00:00:00+00:00,0,20024461
ALNY,HON.,2024-02-15 00:00:00+00:00,0,20024461
ABG,HON.,2024-02-15 00:00:00+00:00,0,20024461
APH,HON.,2024-02-15 00:00:00+00:00,0,20024461
TPH,HON.,2024-02-15 00:00:00+00:00,0,20024461
AAPL,HON.,2024-02-15 00:00:00+00:00,0,20024461
LOPE,HON.,2024-02-15 00:00:00+00:00,0,20024461
OCFC,HON.,2024-02-15 00:00:00+00:00,0,20024461
SPXC,HON.,2024-02-15 00:00:00+00:00,0,20024461
